"","Artist","Song","Lyrics","Label","Top_Topic"
"43","The Beatles","Hello Goodbye","  You say yes, I say no You say stop and I say go go go, oh no You say goodbye and I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye, I say hello  I say high, you say low You say why and I say I don't know, oh no You say goodbye and I say hello (Hello goodbye hello goodbye) Hello hello (Hello goodbye) I don't know why you say goodbye, I say hello (Hello goodbye hello goodbye) Hello hello (Hello goodbye) I don't know why you say goodbye (Hello goodbye) I say hello/goodbye  Why why why why why why do you say goodbye goodbye, oh no?  You say goodbye and I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye, I say hello  You say yes (I say yes) I say no (But I may mean no) You say stop (I can stay) and I say go go go (Till it's time to go), oh Oh no You say goodbye and I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye, I say hello Hello hello I don't know why you say goodbye, I say hello hello  Hela heba helloa Hela heba helloa, cha cha cha Hela heba helloa, wooo Hela heba helloa, hela Hela heba helloa, cha cha cha Hela heba helloa, wooo Hela heba helloa, cha cah cah  ",1,1
"13","The Kinks","You Really Got Me","  Girl, you really got me goin' You got me so I don't know what I'm doin' Yeah, you really got me now You got me so I can't sleep at night  Yeah, you really got me now You got me so I don't know what I'm doin', now Oh yeah, you really got me now You got me so I can't sleep at night  You Really Got Me You Really Got Me You Really Got Me  See, don't ever set me free I always wanna be by your side Girl, you really got me now You got me so I can't sleep at night  Yeah, you really got me now You got me so I don't know what I'm doin', now Oh yeah, you really got me now You got me so I can't sleep at night  You Really Got Me You Really Got Me You Really Got Me Oh no...    See, don't ever set me free I always wanna be by your side Girl, you really got me now You got me so I can't sleep at night  Yeah, you really got me now You got me so I don't know what I'm doin', now Oh yeah, you really got me now You got me so I can't sleep at night  You Really Got Me You Really Got Me You Really Got Me ",1,2
"617","Nancy Sinatra","Sugar Town","I got some troubles, but they won't last I'm gonna lay right down here in the grass And pretty soon all my troubles will pass 'Cause I'm in shoo-shoo-shoo, shoo-shoo-shoo Shoo-shoo, shoo-shoo, shoo-shoo Sugar Town  I never had a dog that liked me some Never had a friend or wanted one So I just lay back and laugh at the sun 'Cause I'm in shoo-shoo-shoo, shoo-shoo-shoo Shoo-shoo, shoo-shoo, shoo-shoo Sugar Town  Yesterday it rained in Tennessee I heard it also rained in Tallahassee But not a drop fell on little old me 'Cause I was in shoo-shoo-shoo, shoo-shoo-shoo Shoo-shoo, shoo-shoo, shoo-shoo Sugar Town  If I had a million dollars or ten I'd give to ya, world, and then You'd go away and let me spend My life in shoo-shoo-shoo, shoo-shoo-shoo Shoo-shoo, shoo-shoo, shoo-shoo Sugar Town",3,3
"221","The Beach Boys","I Get Around","Round round get around I get around Yeah Get around round round I get around I get around Get around round round I get around From town to town Get around round round I get around I'm a real cool head Get around round round I get around I'm makin' real good bread  I'm gettin' bugged driving up and down the same old strip I gotta finda new place where the kids are hip  My buddies and me are getting real well known Yeah, the bad guys know us and they leave us alone  I get around Get around round round I get around From town to town Get around round round I get around I'm a real cool head Get around round round I get around I'm makin' real good bread Get around round round I get around I get around Round Get around round round oooo Wah wa ooo Wah wa ooo Wah wa ooo  We always take my car cause it's never been beat And we've never missed yet with the girls we meet  None of the guys go steady cause it wouldn't be right To leave their best girl home now on Saturday night  I get around Get around round round I get around From town to town Get around round round I get around I'm a real cool head Get around round round I get around I'm makin' real good bread Get around round round I get around I get around Round Ah ah ah ah ah ah ah ah  Round round get around I get around Yeah Get around round round I get around Get around round round I get around Wah wa ooo Get around round round I get around Oooo ooo ooo Get around round round I get around Ahh ooo ooo Get around round round I get around Ahh ooo ooo Get around round round I get around Ahh ooo ooo",3,4
"222","The Beach Boys","Barbara Ann","A Bar bar bar bar Barbar Ann Bar bar bar bar Barbar Ann (Bar bar bar bar Barbar Ann) Oh Barbara Ann take my hand (Bar bar bar bar Barbar Ann) Barbara Ann (Bar bar bar bar Barbar Ann) You got me rockin' and a rollin' Rockin' and a reelin' Barbara Ann Bar bar bar bar Barbar Ann  Went to a dance looking for romance Saw Barbara Ann so I thought I'd take a chance Barbara Ann Bar bar bar bar Barbar Ann  Oh Barbara Ann take my hand (Bar bar bar bar Barbar Ann) Barbara Ann (Bar bar bar bar Barbar Ann) You got me rockin' and a rollin' Rockin' and a reelin' Barbara Ann Bar bar bar bar Barbar Ann  Say Bar bar bar bar Barbar Ann Bar bar bar bar Barbar Ann Oh Barbara Ann take my hand (Bar bar bar bar Barbar Ann) Barbara Ann (Bar bar bar bar Barbar Ann) You got me rockin' and a rollin' Rockin' and a reelin' Barbara Ann Bar bar bar bar Barbar Ann  Tried Betty Sue Tried Betty Lou Tried Mary Sue but I knew she wouldn't do  Bar bar bar bar Barbar Ann Oh Barbara Ann take my hand (Bar bar bar bar Barbar Ann) Barbara Ann (Bar bar bar bar Barbar Ann) You got me rockin' and a rollin' Rockin' and a reelin' Barbara Ann Bar bar bar bar Barbar Ann  Bar bar bar bar Barbar Ann Bar bar bar bar Barbar Ann Bar bar bar bar Barbar Ann Oh Barbara Ann take my hand (Bar bar bar bar Barbar Ann) Barbara Ann (Bar bar bar bar Barbar Ann) You got me rockin' and a rollin' Rockin' and a reelin' Barbara Ann Bar bar bar bar Barbar Ann  Barbar Ann Barbar Ann",3,5
"1095","Donovan","Hurdy Gurdy Man","Thrown like a star in my vast sleep I open my eyes to take a peep To find that I was by the sea Gazing with tranquility. 'Twas then when the Hurdy Gurdy Man Came singing songs of love, Then when the Hurdy Gurdy Man Came singing songs of love. Hurdy gurdy, hurdy gurdy, hurdy gurdy, gurdy he sang. Hurdy gurdy, hurdy gurdy, hurdy gurdy, gurdy he sang. Hurdy gurdy, hurdy gurdy, hurdy gurdy, gurdy he sang. Histories of ages past Unenlightened shadows cast Down through all eternity The crying of humanity. 'Tis then when the Hurdy Gurdy Man Comes singing songs of love, Then when the Hurdy Gurdy Man Comes singing songs of love. Hurdy gurdy, hurdy gurdy, hurdy gurdy, gurdy he sang. Hurdy gurdy, hurdy gurdy, hurdy gurdy, hurdy gurdy, hurdy gurdy. Hurdy gurdy, hurdy gurdy, hurdy gurdy, gurdy he sang. Hurdy gurdy, hurdy gurdy, hurdy gurdy, gurdy he sang. Here comes the roly poly man and he's singing songs of love, Roly poly, roly poly, roly poly, poly he sang. Hurdy gurdy, hurdy gurdy, hurdy gurdy, gurdy he sang, Hurdy gurdy, hurdy gurdy, hurdy gurdy, gurdy he sang",1,6
"814","Jan & Dean","The New Girl In School","(Boppa do ron-de ron-de, do ron-de ron-de, do ron-de ron-de, oo) I got it bad for the new girl in school The guys are flippin’ but I'm playin’ it cool Everybody’s passin’ notes in class They really dig her now she's such a gas  (Boppa, boppa, do ron-de ron-de, do ron-de ron-de) (Do ron-de ron-de, do ron-de ron-de, do ron-de ron-de, oo) I got it bad (boppa do ron-de ron-de, oo)  The chicks are jealous of the new girl in school (The chicks are jealous of the new girl in school, now ) They put her down and they treat her so cruel (They put her down and they treat her so cruel, now) But the guys are goin’ out of their minds (But the guys are goin’ out of their minds, now) Cause she's the finest chick you'll ever find (She’s the new girl in school)   (Boppa, boppa, boppa, do ron-de ron-de, do ron-de ron-do) (Do ron-de ron-de, do ron-de ron-de, do ron-de ron-de, oo) I got it bad (boppa, boppa, do ron-de ron-de, oo)   (Boppa, do ron-de ron-de, do ron-de ron-de)  (Do ron-de ron-de, oo)  (Instrumental Break)  (Boppa, boppa, boppa, do ron-de ron-de, do ron-de ron-do) (Do ron-de ron-de, do ron-de ron-de, do ron-de ron-de, oo) I got it bad (boppa, boppa do ron-de ron-de, oo)  It won’t be long till were havin’ a ball We’ll walk and talk and we’ll hold hands in the hall Never thought I'd make it through this year Sure was a drag till she transferred here  (Boppa, boppa, boppa, do ron-de ron-de, do ron-de ronde) (Do ron-de ron-de, do ron-de ron-de, do ron-de ron-de, oo) I got it bad (boppa, boppa, do ron-de ron-de, oo)   Little girl if you want me to (boppa, boppa, do ron-de ron-de, oo)  I got a lot goin... (boppa, boppa, do ron-de ron-de, oo)   Little girl if you want me to... (boppa, boppa, do ron-de ron-de, oo)  I got it bad, (boppa, do ron-de ron-de, oo)  Little girl ….",3,7
"664","The Mamas & The Papas","For The Love Of Ivy","Mama's & Papa's - For The Love Of Ivy I never thought I'll try for the love of Ivy; I never thought I'll cry for the love of Ivy. Somebody hide me from the love, the love of Ivy. It takes up all of your time to fall in love with Ivy.  (Here cometh Ivy...Ivy)  If I gathered all my means (all my means) In a pile beside me (in a pile), It wouldn't why help to fill my dreams (fill my dreams) For the love of Ivy. Money cannot buy me--- Buy for me the love of Ivy. I'll not the kind of guy who falls in love with Ivy.  Ivy... For the love of (Ivy)...for the love of Ivy, yeah. For the Love of (Ivy)...for the love of Ivy, yeah. Yeah, for the love of (Ivy)...for the love of Ivy... Yeah, yeah... For the love of Ivy...for the love of Ivy... For the love of Ivy...for the love of Ivy...  If I gathered all my means In a pile beside me, It wouldn't help to fill my dreams For the love of Ivy. Somebody hide me,  From the love, the love, the love, the love... It takes up all of your to fall in love with Ivy.   For the love of (Ivy)...for the love of Ivy, yeah. (For the love of Ivy...) For the Love of (Ivy)...for the love of Ivy, yeah, yeah. (For the love of Ivy...) Yeah, for the love of (Ivy)...for the love of Ivy... (For the love of Ivy..)  Yeah, yeah... For the love of Ivy... (Ivy, darling, darling...) For the love of Ivy... (I would surely die for Ivy; Darling, darling Ivy...) Ivy, yeah...  For the love Ivy  (Ivy is the one that I adore..) For the love of Ivy... Ivy... For the love of... For the love of...",3,8
"776","Roger Miller","Vance","He was born one mornin' It was cold and it was snowin' And from the start he never had a chance And though the doctors said he couldn't live His mama had some faith to give And they brought him to her and his mama named him Vance  He was sick a long time then I used to sit by him I'd rub his head and he would squeeze my hand But he never cried, he'd grit his teeth and smile at me 'Cause he couldn't speak And that's when I began to respect the little man And I think Vance was three right about then  He started school and one day He came home and at the doorway I could tell The little man didn't want to come inside He had met a girl but her boyfriend Smitty Had caught him walkin' home with her And nearly killed Vance But then Vance never cried And the only thing that Smitty hurt was pride  And he said  ""Papa do you become a man when you're twenty-one?"" And I said ""Age doesn't make a man a man, my son""  He looked at me so puzzled with eyes so young and kind 'n' I think Vance was seven about that time  I guess they say that first love is the very best At least it was with Vance 'Cause he'd scratched ""Becky"" on his desk But Becky went with Smitty and Vance was very small And he used to dream what it'd be like to be tall And then a few years later Vance came in one day And told me and his mama that he had to go away To be fitted for a uniform And though his mama shed a tear He kissed her and said he'd see us in two years And he looked at me and said ""Papa, I'm gonna be a man""  Well, two years to the day Vance came walkin' in the driveway and I didn't recognize him from his size till he got near He came in and he hugged his mama And said ""Hey, Papa, little man, want to go with me somewhere 'n' grab a beer?"" So we're sittin' at this table when This fella at the bar started buggin' Vance Callin' him ""Soldier"" But Vance kept his cool And he said ""Papa, that guy is Smitty and he's to be pitied now 'Cause that's the same guy that used to bully me in school.""  Then Smitty said the wrong thing When he brought up Becky's name 'n' Vance finally stood and said ""Boy, what did you say?"" And it did my heart so much good when Vance hit ole Smitty And it took two of Smitty's friends to carry him away  Well, Vance left the very next mornin' 'n' It was cold and it was snowin' And from the first, life hadn't been much fun But he had finally made a stand 'n' He'd become a self-made man and Incidentally, he had just turned twenty-one",3,9
"226","The Beach Boys","Fun, Fun, Fun","Well she got her daddy's car And she cruised to the hamburger stand now Seems she forgot all about the library Like she told her old man now And with the radio blasting Goes cruising just as fast as she can now  And she'll have fun, fun, fun Till her daddy takes the t-bird away (Fun, fun, fun till her daddy takes the t-bird away)  Well the girls can't stand her 'Cause she walks, looks, and drives like an ace now (You walk like an ace now, you walk like an ace) She makes the Indy 500 look like a Roman chariot race now (You look like an ace now, you look like an ace) A lotta guys try to catch her But she leads them on a wild goose chase now (You drive like an ace now, you drive like an ace)  And she'll have fun, fun, fun Till her daddy takes the t-bird away (Fun, fun, fun till her daddy takes the t-bird away)  Well you knew all along That your dad was gettin' wise to you now (You shouldn't have lied now, you shouldn't have lied) And since he took your set of keys You've been thinking that your fun is all through now (You shouldn't have lied now, you shouldn't have lied)  But you can come along with me 'Cause we gotta a lot of things to do now (You shouldn't have lied now, you shouldn't have lied)  And we'll have fun, fun, fun now that daddy took the t-bird away (Fun, fun, fun now that daddy took the t-bird away) And we'll have fun, fun, fun now that daddy took the t-bird away (Fun, fun, fun now that daddy took the t-bird away) (Fun, fun now that daddy took the t-bird away) (Fun, fun now that daddy took the t-bird away) (Fun, fun now that daddy took the t-bird away) (Fun, fun now that daddy took the t-bird away) (Fun, fun now that daddy took the t-bird away) (Fun, fun now that daddy took the t-bird away)",3,10
"1102","The Who","My Generation","People try to put us d-down (Talkin' 'bout my generation) Just because we get around (Talkin' 'bout my generation) Things they do look awful c-c-cold (Talkin' 'bout my generation) I hope I die before I get old (Talkin' 'bout my generation)  This is my generation This is my generation, baby  Why don't you all f-fade away (Talkin' 'bout my generation) Don't try to dig what we all s-s-s-say (Talkin' 'bout my generation) I'm not trying to 'cause a big s-s-sensation (Talkin' 'bout my generation) I'm just talkin' 'bout my g-g-g-generation (Talkin' 'bout my generation)  My generation This is my generation, baby  Why don't you all f-fade away (Talkin' 'bout my generation) And don't try to d-dig what we all s-s-say (Talkin' 'bout my generation) I'm not trying to 'cause a b-big s-s-sensation (Talkin' 'bout my generation) I'm just talkin' 'bout my g-g-generation (Talkin' 'bout my generation)  This is my generation This is my generation, baby My my my generation  People try to put us d-down (Talkin' 'bout my generation) Just because we g-g-get around (Talkin' 'bout my generation) Things they do look awful c-c-cold (Talkin' 'bout my generation) Yeah, I hope I die before I get old (Talkin' 'bout my generation)  This is my generation (Talkin' 'bout my generation)  My generation (Talkin' 'bout my generation) This is my generation, baby (Talkin' 'bout my generation)  This is my generation (Talkin' 'bout my generation)  This is my generation (Talkin' 'bout my generation)  This is my generation (Talkin' 'bout my generation)  This is my generation (Talkin' 'bout my generation)",1,1
"354","Bobby Goldsboro","I Know You Better Than That","You know, you say you love me You're never gonna leave But I know, baby You got something up your sleeve  I know you better than that (I know you better than that) I know you better than that (I know you better than that) I know you better than that I've been keeping my eyes on you  Well, you know, you You want me to be your slave I tell you, baby You just better behave  I know you better than that (I know you better than that) I know you better than that now (I know you better than that) I know you better than that I've been keeping my eyes on you  Well, I've been keeping My eyes on you all day Just to make sure You didn't go astray now  I watched you talk To every boy in town Now I'm gonna put my foot down  You think you You're slipping round And being so cool I tell you, baby I ain't nobody's fool  I know you better than that (I know you better than that) I know you better than that now (I know you better than that) I know you better than that I've been keeping my eyes on you  Well, I've been keeping My eyes on you all day Just to make sure You didn't go astray now  I watched you talk To every boy in town Now I'm gonna put my foot down  You think you You're slipping round And being so cool I tell you, baby I ain't nobody's fool  I know you better than that (I know you better than that) I know you better than that now (I know you better than that) I know you better than that I've been keeping my eyes on you  Well, I know you better than that I've been keeping my eyes on you Walk on",3,2
"836","The Dells","Always Together","Just you, just me, always together I made up my mind years ago When I first gazed upon you I'd never let you go And it's amazing baby   How we loved each other so  And we'll always be (always be) Always together  We'll have our problems But we'll face them with pride Our love is protection And we don't have to hide  And a thousand nights I'll kiss away  (The happy tears you cry) And we'll always be (always be) Always together  Just you, just me Always, always, always,  Always, always, always,  When the years have turned   Your hair to silver And the days of our youth  Have left us so very far behind Golden, golden memories  Will keep in our minds And we'll always be (always be) Always together Just you, just me Always, always, always... etc.",3,3
"1028","Petula Clark","Round Every Corner","'Round every corner, 'round every corner 'Round every corner, 'round every corner 'Round every corner, 'round every corner 'Round every corner, 'round every corner  Stop feeling sad now, life ain't so bad, now 'Round every corner, 'round every corner While you're debating, somethings awaiting 'Round every corner, 'round every corner  When Columbus sailed away to other shores How could he imagine all that waited for him  'Round every corner 'Round every corner, 'round every corner  Leave all the blue days, think about the new days 'Round every corner, 'round every corner Everything is yours, now, open all the doors, now 'Round every corner, 'round every corner  Man will soon be standing on the moon above Just imagine all the things that he'll discover  'Round every corner 'Round every corner  You've gotta stop a sittin' there on the shelf You've gotta start lookin' out for yourself, yeah  'Round every corner, 'round every corner 'Round every corner, 'round every corner What's the use in crying? Happiness is lying 'Round every corner, 'round every corner And if you want a true love, look for a new love 'Round every corner, 'round every corner  Just forget the worries that you leave behind There are many things to do and you can find them  'Round every corner, 'round every corner 'Round every corner, 'round every corner 'Round every corner, 'round every corner 'Round every corner, 'round every corner",1,4
"229","The Beach Boys","Dance, Dance, Dance","After six hours of school I've had enough for the day I hit the radio dial and turn it up all the way  I gotta dance (dance dance dance now the beat's really hot) right on the spot (Dance dance dance right there on the spot) The beat's really hot (Dance dance dance now the beat's really hot) Dance (dance) dance (dance) dance (dance) yeah!  When I feel put down I try to shake it off quick With my chick by my side the radio does the trick  I gotta dance (dance dance dance now the beat's really hot) right on the spot (Dance dance dance right there on the spot) The beat's really hot (Dance dance dance now the beat's really hot) Dance (dance) dance (dance) dance (dance) yeah! Oh man!  At a weekend dance we like to show up last I play it cool when it's slow and jump in when it's fast  I gotta dance (dance dance dance now the beat's really hot) right on the spot (Dance dance dance right there on the spot) The beat's really hot (Dance dance dance now the beat's really hot) Dance (dance) dance (dance) dance (dance) yeah!  (Dance dance dance now the beat's really hot) (Dance dance dance right there on the spot) (Dance dance dance now the beat's really hot) Dance (dance) dance (dance) dance (dance) yeah! (Dance dance dance now the beat's really hot) (Dance dance dance right there on the spot) (Dance dance dance...)",3,5
"586","Aretha Franklin","Chain Of Fools","Chain, chain, chain (Chain, chain, chain) Chain, chain, chain (Chain, chain, chain) Chain, chain, chain (Chain, chain, chain) Chain of fools  For five long years I thought you were my man But I found out I'm just a link in your chain  You got me where you want me I ain't nothin' but your fool Ya treated me mean Oh you treated me cruel  Chain, chain, chain (Chain, chain, chain) Chain of fools  Every chain, has got a weak link I might be weak yeah But I'll give you strength Oh, hey  You told me to leave you alone My father said, ""Come on home"" My doctor said, ""Take it easy"" Oh but your lovin' is much too strong I'm added to your  Chain, chain, chain (Chain, chain, chain) Chain, chain, chain (Chain, chain, chain) Chain, chain, chai-i-in (Chain, chain, chain) Chain of fools  One of these mornings The chain is gonna break But up until the day I'm gonna take all I can take, oh hey  Chain, chain, chain (Chain, chain, chain) Chain, chain, chain (Chain, chain, chain) Chain, chain, chai-i-in (Chain, chain, chain) Chain of fools  Chain, chain, chai-i-in Chain, chain, chain Chain, chain, chai-i-in Chain of fools",3,6
