"","Artist","Song","Lyrics","Label","Top_Topic"
"736","The Temptations","The Way You Do The Things You Do","You've got a smile so bright You know, you could've been a candle I'm holding you so tight You know, you could've been a handle The way you swept me off my feet You know, you could've been a broom The way you smell so sweet You know, you could've been some perfume Well, you could've been anything That you wanted to and I can tell The way you do the things you do (The way you do the things you do, The way you do the things you do) As pretty as you are You know, you could've been a flower If good looks can cause a minute You know that you could be an hour The way you stole my heart You know, you could've been a cool crook And baby, you're so smart You know, you could've been a schoolbook Well, you could've been anything That you wanted to and I can tell The way you do the things you do (The way you do the things you do, The way you do the things you do) You made my life so rich You know, you could've been some money And baby, you're so sweet You know, you could've been some honey Well, you could've been anything That you wanted to and I can tell The way you do the things you do (The way you do the things you do) You really swept me off my feet (The way you do the things you do) You made my life complete (The way you do the things you do) You made my life so bright (The way you do the things you do) You make me feel all right...",3,2
"844","Ronnie Dove","Happy Summer Days","These are happy, happy, happy summer days, summer days  When the morning sun promises another wonderful day And good fortune is all along the way When your heart is filled with gladness 'Cause true love has come to stay  These are happy, happy, happy summer days, summer days  Every kiss will take us to a new world to explore Bringing thrills that we never knew before When the one you love can show you what's behind that magic door  These are happy, happy, happy summer days, summer days These are happy, happy, happy summer days, summer days  Look around you - there's a rainbow in that watermelon sky And twinkling of millions bye and bye When your heart keeps taking pictures that we'll share as years go by  These are happy, happy, happy summer days, summer days These are happy, happy, happy summer days, summer days  Look around you - there's a rainbow in that watermelon sky And twinkling of millions bye and bye Let your heart keep taking pictures that we'll share as years go by  These are happy, happy, happy summer days, summer days These are happy, happy, happy summer days, summer days",3,3
"1076","The Beatles","Hey Jude","Hey Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better  Hey Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better  And anytime you feel the pain, hey Jude, refrain Don't carry the world upon your shoulders For well you know that it's a fool who plays it cool By making his world a little colder Nah nah nah nah nah nah nah nah nah  Hey Jude, don't let me down You have found her, now go and get her Remember to let her into your heart Then you can start to make it better  So let it out and let it in, hey Jude, begin You're waiting for someone to perform with And don't you know that it's just you, hey Jude, you'll do The movement you need is on your shoulder Nah nah nah nah nah nah nah nah nah yeah  Hey Jude, don't make it bad Take a sad song and make it better Remember to let her under your skin Then you'll begin to make it Better better better better better better, oh  Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude Nah nah nah nah nah nah, nah nah nah, hey Jude",1,4
"37","The Kinks","Deadend Street","  There's a crack up in the ceiling, And the kitchen sink is leaking. Out of work and got no money, A Sunday joint of bread and honey.  What are we living for? Two-roomed apartment on the second floor. No money coming in, The rent collector's knocking, trying to get in.  We are strictly second class, We don't understand, (Dead end!) Why we should be on dead end street. (Dead end!) People are living on dead end street. (Dead end!) Gonna die on dead end street.  Dead end street (yeah) Dead end street (yeah)  On a cold and frosty morning, Wipe my eyes and stop me yawning. And my feet are nearly frozen, Boil the tea and put some toast on.  What are we living for? Two-roomed apartment on the second floor. No chance to emigrate, I'm deep in debt and now it's much too late.  We both want to work so hard, We can't get the chance, (Dead end!) People live on dead end street. (Dead end!) People are dying on dead end street. (Dead end!) Gonna die on dead end street.  Dead end street (yeah) Dead end street (yeah)  (Dead end!) People live on dead end street. (Dead end!) People are dying on dead end street. (Dead end!) Gonna die on dead end street.  Dead end street (yeah) Dead end street (yeah) Dead end street (yeah) Head to my feet (yeah) Dead end street (yeah) Dead end street (yeah) Dead end street (yeah) How's it feel? (yeah) How's it feel? (yeah) Dead end street (yeah) Dead end street (yeah) ",1,5
"133","The Impressions","Amen","Amen, amen, amen, amen, amen sing it over Amen, amen, amen, amen, amen See the little baby Wrapped in a manger on Christmas morning singing in the temple Talking with the elders Tomorrow there's wisdom  Amen, amen, amen, amen, amen Hallelujah Amen, amen, amen, amen, amen Down at the Jordan John was baptizing and saving all sinners See him at the seaside Talking with the fisherman And made them disciples  Amen, amen, amen, amen, amen Keep on pushin now Amen, amen, amen, amen, amen Hallelujah now Amen, amen, amen, amen, amen  more Impressions Lyrics   ",3,6
"711","Stevie Wonder","Nothing's Too Good For My Baby","Hey!  Nothing's too good for my baby Nothing's too good for my girl Nothing's too good for my baby Oh, no (Nothing's too good for my girl)  I'm the luckiest guy in the world 'Cause I've got one pearl of a girl For my baby I work part-time Down at the neighborhood five-and-dime Half of my money goes to buy her Some of the things her little heart desires The other half goes dime by dime To show my cookie a real good time, because  Nothing's too good for my baby Nothing's too good for my girl Nothing's too good for my baby Oh, no (Nothing's too good for my girl)  She's sweet and she's kind And she tells me that she's mine all mine, now Ain't that lovin', ain't that livin' Ain't that half the fun of givin'  Nothing's too good for my baby Nothing's too good for my girl Nothing's too good for my baby Oh, no (Nothing's too good for my girl)  I walk around with my chest stuck out 'Cause my baby's worth bragging about Every Johnnie, Jack, and Jim Wished that she belonged to him I gave up the old gang of mine 'Cause with my girl goes all my time One of these days I'm gonna buy her a ring And marry her - and everything, because  Nothing's too good for my baby Nothing's too good for my girl Nothing's too good for my baby Oh, no (Nothing's too good for my girl)  She's sweet and she's mellow And she tells me that I'm one heck of a fellow, now Ain't that lovin', ain't that livin' Ain't that half the fun of givin'   Nothing's too good for my baby Nothing's too good for my girl  She's all right and out of sight And I love her ah-ha-ha, yeah ah-ah-ha-ha-ha ha Ah-ha-ha yeah, I'm gonna get her a diamond ring, everything ",3,7
"797","Gladys Knight And The Pips","Everybody Needs Love","Say you wanna be loved But you won't let me love you Say you want someone to trust in you, baby Can't you see that's what I'm tryin' to do  I know you've been hurt before And you're afraid to try love once more  Without love by your side, you're only half alive   ‘Cause everybody needs love, oh, yeah Everybody needs love  Say you wanna be kissed But you won't let me kiss you Say you wanna be missed Can't you see how my arms are missing you  She's got you hurting so inside Now with love you try to hide  But no matter how you try Without love you can't survive ‘Cause everybody needs love, oh, yeah Everybody needs love Oh, love's alright  You need love, I need love Everybody needs love  Baby, don't you know that You need love and I need love Everybody needs love, oh, yeah Everybody needs love  Say you wake up in the morning, yes, you will Feeling, ooh, so empty inside I bet I know what your trouble is, baby You need someone like me by your side  I know you've been hurt before But don't be afraid to try love once more  ‘Cause without love you'll find You'll have no peace of mind ‘Cause everybody needs love, oh, yeah Everybody needs love  You need love and I need love Everybody needs love, love, love You need love, I sure need love Everybody needs love",3,8
"49","Dusty Springfield","Son-Of-A Preacher Man","  Billy-Ray was a preacher's son And when his daddy would visit he'd come along When they gathered round and started talkin' That's when Billy would take me walkin' A-through the backyard we'd go walkin' Then he'd look into my eyes Lord knows to my surprise  The only one who could ever reach me Was the son of a preacher man The only boy who could ever teach me Was the son of a preacher man Yes he was, he was Ooh, yes he was  Being good isn't always easy No matter how hard I try When he started sweet-talkin' to me He'd come and tell me everything is all right He'd kiss and tell me everything is all right Can I get away again tonight?  The only one who could ever reach me Was the son of a preacher man The only boy who could ever teach me Was the son of a preacher man Yes he was, he was (Ooh...) Lord knows he was Yes he was  How well I remember The look that was in his eyes Stealin' kisses from me on the sly Takin' time to make time Tellin' me that he's all mine Learnin' from each other's knowing Lookin' to see how much we've grown  And the only one who could ever reach me Was the son of a preacher man The only boy who could ever teach me Was the son of a preacher man Yes he was, he was Ooh, yes he was  The only one who could ever reach me He was the sweet-talking son of a preacher man The only boy who could ever teach me I kissed the son of a preacher man The only one who could ever move me The sweet-lovin' son of a preacher man The only one who could ever groove me Ahh, ooh, ahh.... ",1,9
"1013","Petula Clark","Look At Mine","Look at mine Look at mine, look at mine  If you think her eyes are brighter Look at mine If you think her lips are softer Look at mine  If you think her love is stronger Don't you hang around much longer Stop awhile, take your time And get yourself to my place And look at mine  If you like her dress are better Look at mine If she writes you nice love letters Look at mine  If you think her heart is willing Don't you wait to make the kiilling Stop awhile, take your time And get yourself to my place And look at mine  Hey, look at mine Look at mine, look at mine I've got everything you need All the time  If you think her smile is sunshine Look at mine If you think her looks are so fine Look at mine  If you think her future's better Just forget the day you met her Stop awhile, take your time And get yourself to my place And look at mine  Stop awhile, take your time And get yourself to my place And look at mine  Why don't you look at mine Look at mine, look at mine I've got everything you need All the time  If you think her smile is sunshine Look at mine If you think her looks are so fine Look at mine  If you think her future's better Just forget the day you met her Stop awhile, take your time And get yourself to my place And look at mine  Look at mine, look at mine Look at mine, look at mine Look at mine, look at mine Look at mine, look at mine Look at mine",1,10
"203","Bob Dylan","I Want You","The guilty undertaker sighs, The lonely organ grinder cries, The silver saxophones say I should refuse you. The cracked bells and washed-out horns Blow into my face with scorn, But it's not that way, I wasn't born to lose you. I want you, I want you, I want you so bad, Honey, I want you.  The drunken politician leaps Upon the street where mothers weep And the saviors who are fast asleep, They wait for you. And I wait for them to interrupt Me drinkin' from my broken cup And ask me to Open up the gate for you. I want you, I want you, I want you so bad, Honey, I want you.  Now all my fathers, they've gone down, True love they've been without it. But all their daughters put me down Cause I don't think about it.  Well, I return to the Queen of Spades And talk with my chambermaid. She knows that I'm not afraid To look at her. She is good to me And there's nothing she doesn't see. She knows where I'd like to be But it doesn't matter. I want you, I want you, I want you so bad, Honey, I want you.  Now your dancing child with his Chinese suit, He spoke to me, I took his flute. No, I wasn't very cute to him, Was I? But I did it, though, because he lied Because he took you for a ride And because time was on his side And because I  I want you, I want you, I want you so bad, Honey, I want you.",3,1
"399","The Turtles","You Baby","From the time I fall asleep 'Til the morning comes I dream about You baby And I feel all right 'Cause I know tonight I'll be with You baby And who makes me feel like smiling When the weary day is through  You baby, no-one but you, baby, nobody but you You baby, no-one but you, baby, nobody but you  They say candy is sweet But it just can't compete with You baby You've got everything I need And nobody can please like You do, baby And who believes all my wildest dreams And my craziest schemes will come true  You baby, no-one but you, baby, nobody but you You baby, no-one but you, baby, nobody but you  A little ray of sunshine A little bit of soul Add just a touch of magic You got the greatest thing since rock 'n' roll  You baby, no-one but you, baby, nobody but you You baby, no-one but you, baby, nobody but you  You baby, no-one but you, baby, nobody but you You baby, no-one but you, baby, nobody but you",3,2
"1060","Chad & Jeremy","Yesterday's Gone","I loved you all the summer through I thought I'd found my dream in you For me you were the one But that was yesterday and yesterday's gone  We walked together hand in hand 'cross miles and miles of golden sand But now it's over and done 'cause that was yesterday and yesterday's gone  We had such happiness together I can't believe it's gone forever  Wait 'til summer comes again I hope that you'll remember when Our love had just begun I loved you yesterday and yesterday's gone  We had such happiness together I can't believe it's gone forever  Wait 'til summer comes again I hope that you'll remember when Our love had just begun I loved you yesterday and yesterday's gone Yesterday's gone Yesterday's gone Yesterday's gone",1,3
"558","Peter, Paul & Mary","Tell It On The Mountain","Go tell it on the mountain Over the hill and everywhere Go tell it on a mountain To let my people go  Who's that yonder dressed in red?  Let my people go Must be the children that Moses led  Let my people go  Who's that yonder dressed in red? Must be the children that Moses led Go tell it on a mountain To let my people go  Go tell it on a mountain Over the hill and everywhere Go tell it on a mountain To let my people go  Who's that yonder dressed in white? Let my people go Must be the children of the Israelite Let my people go  Who's that yonder dressed in white? Must be the children of the Israelite Go tell it on a mountain To let my people go  Go tell it on the mountain Over the hill and everywhere Go tell it on a mountain To let my people go  Who's that yonder dressed in black? Let my people go Must be the hypocrites turning back Let my people go  Who's that yonder dressed in black? Must be the hypocrites turnin' back Go tell it on a mountain To let my people go Go tell it on a mountain Over the hill and everywhere Go tell it on a mountain To let my people go",3,4
"367","Roy Orbison","Let The Good Times Roll","Come on baby let the good times roll, come on baby let me thrill your soul,  Come on baby let the good times roll, roll all night long  Come on baby and a listen to this, this is a something you just can't miss  Come on baby let the good times roll, roll all night long   Come on baby while the thrill is on, come on baby rock me all night long  Come on baby let the good times roll, roll all night long  Come on baby just a close the door, come on baby lets a rock some more  Come on baby let the good times roll, roll all night long   Feels so good when you're home come on baby rock me all night long  Come on baby let the good times roll, come on baby let me thrill your soul,  Come on baby let the good times roll, roll all night long  Feels so good when you're home come on baby rock me all night long   Come on baby let the good times roll, come on baby let me thrill your soul,  Come on baby let the good times roll, roll all night long  Come on baby let the good times roll ",3,5
"195","Otis Redding","Shake","Shake!  (Everybody say it!)  Shake! (Early in the morning)  Shake! (Late in the evening)  Shake! (In the midnight hour)  Shake! (When the time's going bad, now)  Shake! Shake with the feeling! Shake with the feeling!  Listen while I'm talkin' to you now Tell you what I'm gonna do now There's a new thing going around now  I'll tell what to put down now   You move your body all around And just shake That's the way you do it  Shake, shake, shake it baby  Shake it like a bowl of soup  Let your body loop de loop  Put your hands on your hip  Come on and let your backbone slip  Move your body like your hip And just shake!   Shake early in the morning Shake early in the evening  A ring-a-ling-a-ling Honey, shakin' is the greatest thing But if you really roll  Gotta do the thing with soul!   Shake shake with all your might now If you do it, do it right now Put your hands on your hip,yeah  Come on and let your backbone slip  Move your body like your hip  And just shake   (God have mercy now!) Early in the morning Early in the evening  All night long, y'all!   If you really want to roll Gotta do the thing with soul! Shake shake with all your might  If you do it, do it right  Let your body loop de lite  Shake! Everybody say it, shake!  One more time, shake!  Everybody louder, shake!  One more time, now, say shake!  Everybody a bit louder, shake!",3,6
"751","The 5th Dimension","Sweet Blindness","Let's go down by the grapevine Drink my daddy's wine, get happy Down by the grapevine Drink my daddy's wine, get happy  Happy, oh, sweet blindness A little magic A little kindness Oh, sweet blindness All over me  Four leaves on a clover I'm just a bit of a shade hungover Come on, baby, do a slow float You're a good looking riverboat And ain't that sweet eyed Blindness good to me  Let's go down by the grapevine Drink my daddy's wine, good morning Down by the grapevine Drink my daddy's wine, good morning  Morning, oh, sweet blindness A little magic A little kindness Oh, sweet blindness All over me  Please don't tell my mother I'm a saloon and a moonshine lover Come on, baby, do a slow float You're a good lookin' riverboat And ain't that sweet eyed Blindness good to me  Don't ask me cause I ain't gonna tell you What I've been drinking Ain't gonna tell you What I've been drinking Ain't gonna tell you What I've been drinking Wine, of wonder Wonder by the way  Oh, sweet blindness A little magic A little kindness Oh, sweet blindness All over me  Don't let daddy hear it He don't believe in The gin mill spirit Don't let daddy hear it He don't believe in The gin mill spirit  Come on, baby, do a slow float You're a good looking riverboat And ain't that sweet eyed Blindness good to me  Blindness, sweet eyed blindness Now ain't that sweet eyed Blindness good to me",3,7
"610","Nancy Sinatra","Love Eyes","Love eyes... Baby you sure got Love eyes... Turn me on a lot My world lies right there in your love eyes... your love eyes  Love eyes... Keep me all uptight Love eyes... Make me do what's right Me world lies right there in your love eyes... your love eyes  You know I know You know everything I do 'Cause everything I do, you know I do it just for you Take me in your arms, make me realize All I'll ever need is in your.....  Love eyes... Nothing else will do Love eyes... yeah, they keep my loving true My world lies right there in your.....  Love eyes... Baby you sure got Love eyes... Man they turn me on a lot My world lies right there in your love eyes why o you are   l o v e   e why e s",3,8
"334","Joe Tex","A Sweet Woman Like You","Woman tell me, where did you learn To handle a man with so much ease When all of his life He's used to doin' as he pleased, yeah You got me doing all the good things That a man's supposed to do I know a lot of men who wish they had A sweet little woman like you 'Cause your kind is so hard to find  Woman tell me, where did you learn To make a man feel like a king When all the time he knows That he hasn't got a thing, yeah Stand by my side and there is  No limit to what I can do I know some men who'd give their right arm To have a sweet little woman like you Because your kind is so hard to find Your kind is so hard to find A sweet woman like you is hard to find A sweet woman is hard to find And that's why I'm so glad I got mine  Woman tell me, what do I have to do To make you really see Just how much I really love you And how much you mean to me, yeah Don't be afraid to tell me baby 'Cause there's nothin' that I wouldn't do I know a lot of men that wish they had A sweet little woman like you 'Cause your kind is so hard to find A sweet woman like you is hard to find A sweet woman like you is hard to find A sweet woman like you is so hard to find A sweet woman like you is hard to find A sweet woman like you is so hard to find",3,9
"528","Gary Lewis And The Playboys","She's Just My Style","Every time I see her she don't even look my way, Maybe she will notice me, but then what would I say? I would say what's on my mind, But the words are hard to find, But I'm gonna try to tell her anyway.  Don't you know that she's just my style, Everything about her drives me wild, Don't you know that she's just my style, Everything about her drives me wild, Don't you know that she's fine, so fine.  Other guys who meet her may not think she's much to see, I can't begin to tell you what she always does to me, Maybe it's the clothes she wears, Or the way she combs her hair, Oh, that makes me want to tell her that I care.  Don't you know that she's just my style, Everything about her drives me wild, Don't you know that she's just my style, Everything about her drives me wild, Don't you know that she's fine, so fine.  (Guitar Solo)  Maybe it's the clothes she wears, Or the way she combs her hair, Oh, that makes me want to tell her that I care.  Don't you know that she's just my style, Everything about her drives me wild, Don't you know that she's just my style, Everything about her drives me wild, Don't you know that she's fine, so fine.  Don't you know that she's just my style, Everything about her drives me wild, Don't you know that she's just my style, Everything about her drives me wild...",3,10
